שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,Arabs,Left,Right,Center,Orthodox
יציץ,759,523,396,4,392,0,47,291,18,18
יקום,417,508,408,1,407,0,347,21,31,0
יקיר,3647,956,826,2,824,0,7,738,5,7
יקנעם (מושבה),241,980,761,4,757,1,498,114,125,5
יקנעם עילית,240,15429,11161,127,11034,6,2110,6749,1403,488
יראון,623,353,223,2,221,0,170,28,17,0
ירדנה,2026,286,198,3,195,0,33,142,4,13
ירוחם,831,6545,4209,88,4121,35,382,2454,132,928
ירושלים,3000,385888,258879,3593,255286,3363,34888,101121,10752,84527
ירחיב,718,677,510,7,503,0,86,343,35,22
ירכא,502,9360,6168,143,6025,2242,741,1245,123,805
ירקונה,183,288,235,1,234,1,168,39,22,1
ישע,916,260,189,1,188,0,78,76,29,2
ישעי,805,508,400,1,399,0,14,245,7,96
ישרש,828,666,514,6,508,0,86,329,48,33
