שם ישוב,סמל ישוב,בוחרים,מצביעים,כשרים,פסולים,Arabs,Left,Right,Center,Orthodox
יפיע,499,6420,4608,4471,137,3390,834,93,0,17
יפית,3566,87,45,44,1,0,17,20,5,2
יפעת,134,597,465,461,4,1,428,14,14,0
יפתח,453,369,300,298,2,0,277,13,6,0
יצהר,3749,110,97,96,1,0,0,89,0,4
יציץ,759,306,249,248,1,0,26,193,3,25
יקום,417,406,329,325,4,0,315,3,7,0
יקיר,3647,356,323,323,0,0,0,314,3,6
יקנעם )מושבה(,241,649,524,519,5,1,352,114,31,9
יקנעם עילית,240,7178,5729,5572,157,8,1311,2332,1072,734
יראון,623,291,203,201,2,1,183,5,9,1
ירדנה,2026,223,165,165,0,0,53,85,6,20
ירוחם,831,5207,3969,3824,145,9,676,1550,316,1078
ירושלים,3000,287279,218074,214658,3416,1309,51084,87304,15794,54107
ירחיב,718,379,324,318,6,0,68,168,19,59
ירכא,502,5145,3608,3531,77,320,1921,815,17,382
ירקונה,183,133,113,113,0,0,83,21,8,0
ישע,916,166,122,121,1,0,85,27,6,3
ישעי,805,375,327,325,2,0,12,221,6,82
ישרש,828,319,262,259,3,0,73,144,11,31
כאבול,504,3904,3254,3156,98,2243,643,97,0,14
כאוכב אבו אל-היגא,505,1359,1087,1065,22,775,182,2,0,3
כברי,576,625,503,497,6,1,475,7,9,0
כדים,3729,76,56,55,1,0,5,48,1,0
כוכב השחר,3564,316,290,290,0,0,0,276,9,5
כוכב יאיר,1224,3045,2493,2484,9,0,1166,1141,148,19
כוכב יעקב,3779,316,288,285,3,0,0,245,1,34
כוכב מיכאל,824,420,288,284,4,1,205,51,17,2
כורזים,1252,204,156,156,0,0,110,23,19,4
כחל,1210,153,141,141,0,0,105,25,10,1
כיסופים,840,250,174,173,1,0,160,4,4,3
כליל,1183,85,63,63,0,10,51,2,0,0
כלנית,1229,67,65,64,1,0,1,41,1,21
כמון,1201,151,131,131,0,3,91,18,18,1
כנף,4028,68,60,60,0,0,16,8,36,0
כנרת )מושבה(,63,264,224,223,1,0,105,100,14,2
כנרת )קבוצה(,57,622,450,446,4,1,375,32,30,7
כסיפה,1059,1978,1403,1349,54,447,420,80,3,12
כסלון,859,161,133,132,1,2,8,66,2,50
כסרא-סמיע,1296,2465,1989,1962,27,201,1128,411,179,40
כעביה-טבאש,978,1120,584,563,21,99,350,81,2,1
כפר אביב,857,342,273,270,3,0,162,90,11,5
